,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
3,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.93749475,5.872241593778608,0.15964853281658162
2,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.89588106,5.6570545904268315,0.15836528399454392
6,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.94721085,6.070416284882322,0.15603721456308883
8,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.92327344,6.071925986126747,0.15205610975582265
10,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.93026805,6.177438493959139,0.1505912280874691
9,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.9134268,6.177438493959139,0.1478649795310309
11,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.9128901,6.177438493959139,0.14777809241321868
7,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.8941353,6.071925986126747,0.14725727856164494
4,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.86158466,5.872241593778608,0.14672159679259889
5,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.6330415,5.6570545904268315,0.11190302142682051
1,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.58865726,5.438898209455305,0.10823097569977394
0,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.45497352,5.366299412146114,0.08478347626646203
