,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
3,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.94606596,5.872241593778608,0.1611081470689017
2,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.88242626,5.6570545904268315,0.15598687405193934
8,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.9425324,6.071925986126747,0.155227916531246
11,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.94208276,6.177438493959139,0.15250378674582593
6,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.92242634,6.070416284882322,0.15195438000872688
10,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.93112993,6.177438493959139,0.15073074921168506
9,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.92932504,6.177438493959139,0.15043857499575258
7,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.9077575,6.071925986126747,0.14950075523807785
4,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.8157393,5.872241593778608,0.138914460687245
1,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.7503201,5.438898209455305,0.13795442533527152
5,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.6299891,5.6570545904268315,0.11136344497147607
0,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.51452607,5.366299412146114,0.09588098420294901
