,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
1,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.8992639,5.438898209455305,0.16533935436344016
4,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.91155154,5.872241593778608,0.15523059134612197
5,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.82456726,5.6570545904268315,0.1457591128346858
0,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.73174953,5.366299412146114,0.13636017642822673
2,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.7306041,5.6570545904268315,0.12914920661799023
3,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.66658616,5.872241593778608,0.11351477115076633
6,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.62391686,6.070416284882322,0.10277991411378742
7,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.6124984,6.071925986126747,0.10087382553657079
8,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.60528183,6.071925986126747,0.09968531092390519
11,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.60301304,6.177438493959139,0.09761538528063612
10,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.5758017,6.177438493959139,0.09321042550474137
9,C1=CC=C2C=C3C=CC=CC3=CC2=C1,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.5697546,6.177438493959139,0.09223152947326958
