,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
3,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.9269316,5.872241593778608,0.15784970778896595
8,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.93623376,6.071925986126747,0.15419057496180233
9,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.94621724,6.177438493959139,0.15317307324522014
6,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.9148834,6.070416284882322,0.1507118016677471
11,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.930457,6.177438493959139,0.1506218146686423
10,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.92974025,6.177438493959139,0.15050578828422342
7,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.8972144,6.071925986126747,0.14776438559020347
2,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.83120745,5.6570545904268315,0.14693290314206492
1,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.54679596,5.438898209455305,0.10053432573723206
5,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.54727036,5.6570545904268315,0.09674121910276687
4,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.5642711,5.872241593778608,0.09609125976912757
0,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.40376836,5.366299412146114,0.07524148945190887
