,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
1,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.9501571,5.438898209455305,0.17469661488992186
4,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.9012413,5.872241593778608,0.15347483377473117
5,C1=CC=C2C=CC=CC2=C1,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.8487119,5.6570545904268315,0.15002717302743593
2,C1=CC=C2C=CC=CC2=C1,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.805568,5.6570545904268315,0.14240060210411387
0,C1=CC=C2C=CC=CC2=C1,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.7349035,5.366299412146114,0.13694791474397391
3,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.72112274,5.872241593778608,0.12280195393582202
8,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.67614496,6.071925986126747,0.1113559287592254
11,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.6769338,6.177438493959139,0.10958163738546149
6,C1=CC=C2C=CC=CC2=C1,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.6528075,6.070416284882322,0.10753916099001233
9,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.65328765,6.177438493959139,0.10575380876612647
10,C1=CC=C2C=CC=CC2=C1,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.6477095,6.177438493959139,0.10485081955928863
7,C1=CC=C2C=CC=CC2=C1,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.62408304,6.071925986126747,0.10278172750634516
