,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
11,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.9361943,6.177438493959139,0.15155056607476483
7,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.91161275,6.071925986126747,0.1501356820196099
8,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.9092568,6.071925986126747,0.14974767775296122
3,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.8777337,5.872241593778608,0.14947166144490723
9,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.9083291,6.177438493959139,0.14703976900899976
10,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.901513,6.177438493959139,0.14593637497851286
6,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.8046768,6.070416284882322,0.13255709878874303
2,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.70120776,5.6570545904268315,0.12395280013432712
1,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.47302622,5.438898209455305,0.08697096320129395
4,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.48404127,5.872241593778608,0.08242870560821677
5,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.43844175,5.6570545904268315,0.07750353940890116
0,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.413169,5.366299412146114,0.0769932806278616
