,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
10,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.96543145,6.177438493959139,0.15628345838514976
3,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.9134104,5.872241593778608,0.15554714679210013
6,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.94261074,6.070416284882322,0.15527942342423623
8,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.9424791,6.071925986126747,0.15521913082516264
9,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.94866824,6.177438493959139,0.1535698400604957
11,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.9432278,6.177438493959139,0.1526891491467466
7,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.9168757,6.071925986126747,0.15100245327742864
4,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.8681806,5.872241593778608,0.14784483218578803
2,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.79908746,5.6570545904268315,0.14125503864885378
5,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.74390525,5.6570545904268315,0.13150045387871243
1,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.51282644,5.438898209455305,0.09428866343315229
0,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.43865857,5.366299412146114,0.08174321475427913
