,starting_molecule,end_point,end_point_name,Molecular Weight,Cosine Similarity,NLL Score,Combined Score
0,C1=CC=CC=C1,C1=CC=CC=C1,(0) - Benzene,78.046950192,0.9486015,5.366299412146114,0.17677013737840191
1,C1=CC=CC=C1,C1=CC=C2C=CC=CC2=C1,(1) - Naphthalene,128.062600256,0.7796773,5.438898209455305,0.14335206172594278
5,C1=CC=CC=C1,C1CC2=CC=CC3=C2C1=CC=C3,(6) - acenaphthene,154.07825032,0.71658194,5.6570545904268315,0.12667050126466484
4,C1=CC=CC=C1,C1=CC=C2C=C3C=CC=CC3=CC2=C1,(13) - Anthracene,178.07825032,0.6720987,5.872241593778608,0.11445351583352807
2,C1=CC=CC=C1,C1=CC=C(C=C1)C2=CC=CC=C2,(4) - Biphenyl,154.07825032,0.5916033,5.6570545904268315,0.1045779689159995
3,C1=CC=CC=C1,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,(12) - Phenanthrene,178.07825032,0.49244353,5.872241593778608,0.08385954901333688
6,C1=CC=CC=C1,C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32,"(15) - Naphthalene, 1-phenyl-",204.093900384,0.4748459,6.070416284882322,0.07822295275087117
7,C1=CC=CC=C1,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,(20) - Pyrene,202.07825032,0.44238973,6.071925986126747,0.07285822120519495
8,C1=CC=CC=C1,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,(19) - Fluoranthene,202.07825032,0.41525123,6.071925986126747,0.06838871655910365
10,C1=CC=CC=C1,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,(27) - triphenylene,228.093900384,0.39675882,6.177438493959139,0.06422707809634287
11,C1=CC=CC=C1,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,(26) - benz(a)anthracene,228.093900384,0.38523027,6.177438493959139,0.06236084315287959
9,C1=CC=CC=C1,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,(27) - Chrysene,228.093900384,0.3807354,6.177438493959139,0.06163321540330752
