,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,C1#CCC1,C,16.031300127999998,0.6369873,-8.968324459455982,-9.39286214794971
1,C1#CCC1,C#C,26.015650064,0.694711,-7.226864575468232,-7.6318087271081705
2,C1#CCC1,C=C,28.031300127999998,0.61288226,-6.983630180388088,-7.416572332411404
3,C1#CCC1,CC,30.046950192,0.65893567,-6.7744679666636305,-7.1914674557326155
4,C1#CCC1,C1#CC1,38.015650064,0.5843031,-6.240950008377659,-6.6840282878728985
5,C1#CCC1,C1=CC=1,38.015650064,0.7388075,-6.240950008377659,-6.631425460323918
6,C1#CCC1,C=C=C,40.031300128,0.58467185,-6.164735805361048,-6.6076820903704325
7,C1#CCC1,C#CC,40.031300128,0.70859367,-6.164735805361048,-6.565078478424327
8,C1#CCC1,C1=CC1,40.031300128,0.7716899,-6.164735805361048,-6.544699322550074
9,C1#CCC1,C=CC,42.046950192,0.6342547,-6.103642028842362,-6.529125911269578
10,C1#CCC1,C1CC1,42.046950192,0.76447386,-6.103642028842362,-6.485892248425873
11,C1#CCC1,CCC,44.062600255999996,0.69553834,-6.052532396820245,-6.457201085594354
12,C1#CCC1,C1=CCC=1,52.031300128,0.6271864,-5.8691925279295845,-6.297131436268131
13,C1#CCC1,C1#CC=C1,50.015650064,0.7767775,-5.917367532444946,-6.2957256283292695
14,C1#CCC1,CC1C#C1,52.031300128,0.7920403,-5.8691925279295845,-6.242767678896229
15,C1#CCC1,C1#CCC1,52.031300128,0.8382064,-5.8691925279295845,-6.228603588739674
16,C1#CCC1,C#CCC,54.046950192,0.69275093,-5.820273434657672,-6.225870555181125
17,C1#CCC1,C1=CCC1,54.046950192,0.7331194,-5.820273434657672,-6.212591176766971
18,C1#CCC1,C1CCC1,56.062600255999996,0.72018176,-5.773027807524754,-6.169562429240299
19,C1#CCC1,C=C1C#CC1,64.031300128,0.63987994,-5.653161866822561,-6.076699806609472
20,C1#CCC1,CC#CCC,68.062600256,0.67618465,-5.648499796543922,-6.059651086483802
21,C1#CCC1,CC1=CC#C1,64.031300128,0.77669024,-5.653161866822561,-6.031547470250448
22,C1#CCC1,CC1C=C=C1,66.046950192,0.7558217,-5.646510371599426,-6.031517306003799
23,C1#CCC1,CC1C#CC1,66.046950192,0.77180594,-5.646510371599426,-6.026437202129593
