,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,C1=CC1,C,16.031300127999998,0.5110756,-8.968324459455982,-9.438234246634021
1,C1=CC1,C#C,26.015650064,0.55501616,-7.226864575468232,-7.680524825178315
2,C1=CC1,C=C,28.031300127999998,0.62310505,-6.983630180388088,-7.412991970806713
3,C1=CC1,CC,30.046950192,0.57210916,-6.7744679666636305,-7.221928141224177
4,C1=CC1,C1=C=C=1,36.0,0.81209725,-6.337101986565609,-6.7044678534651
5,C1=CC1,C1=CC=1,38.015650064,0.7642455,-6.240950008377659,-6.623272856220829
6,C1=CC1,C=C=C,40.031300128,0.66715014,-6.164735805361048,-6.5789418333456675
7,C1=CC1,C1=CC1,40.031300128,0.803985,-6.164735805361048,-6.534602772562281
8,C1=CC1,C=CC,42.046950192,0.636319,-6.103642028842362,-6.528410923753174
9,C1=CC1,C1CC1,42.046950192,0.6697756,-6.103642028842362,-6.516958517108353
10,C1=CC1,C=C1CC1,54.046950192,0.37390172,-5.820273434657672,-6.34384421064339
11,C1=CC1,C#CC=C,52.031300128,0.5830787,-5.8691925279295845,-6.3127092591917915
12,C1=CC1,C=C=CC,54.046950192,0.62069136,-5.820273434657672,-6.250478392381289
13,C1=CC1,C=CC=C,54.046950192,0.6279479,-5.820273434657672,-6.247947400350192
14,C1=CC1,C=C1C=C1,52.031300128,0.77860224,-5.8691925279295845,-6.246976154247562
15,C1=CC1,CC1=CC1,54.046950192,0.76777935,-5.820273434657672,-6.201474791307071
16,C1=CC1,CC1C=C1,54.046950192,0.7915225,-5.820273434657672,-6.19401002480469
