,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,CC=CC,C,16.031300127999998,0.4274325,-8.968324459455982,-9.470420874022022
1,CC=CC,CC,30.046950192,0.5895991,-6.7744679666636305,-7.215653768884929
2,CC=CC,C1=CC=1,38.015650064,0.65052766,-6.240950008377659,-6.660824408278096
3,CC=CC,C1=CC1,40.031300128,0.6978804,-6.164735805361048,-6.568625610439555
4,CC=CC,C=CC,42.046950192,0.86637145,-6.103642028842362,-6.454633009705933
5,CC=CC,CCC,44.062600255999996,0.7038543,-6.052532396820245,-6.4544411521226746
6,CC=CC,C=C=CC,54.046950192,0.85801816,-5.820273434657672,-6.17374435617409
7,CC=CC,CCCC,58.078250319999995,0.65002596,-5.730360881882566,-6.1504073901947915
8,CC=CC,C=CCC,56.062600255999996,0.8480418,-5.773027807524754,-6.1294796467333565
9,CC=CC,C=C(C)CC,70.07825032,0.5099179,-5.656810825332318,-6.127154981359158
10,CC=CC,CC=CC,56.062600255999996,0.9335703,-5.773027807524754,-6.104593306830479
11,CC=CC,CC=C(C)C,70.07825032,0.72241926,-5.656810825332318,-6.0526134722077
12,CC=CC,C=CCCC,70.07825032,0.8225939,-5.656810825332318,-6.020961170657788
13,CC=CC,C=CCC=CC,82.07825032,0.83464074,-5.639278613857593,-5.999767535261478
14,CC=CC,C=CC=CC,68.062600256,0.8761611,-5.648499796543922,-5.996602902565803
15,CC=CC,CC=CCC,70.07825032,0.92169464,-5.656810825332318,-5.991742139323865
16,CC=CC,CC=C=CC,68.062600256,0.9037507,-5.648499796543922,-5.988571057473029
17,CC=CC,CC=CCCC,84.093900384,0.87392783,-5.597643165968446,-5.946403323792008
