,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,C=CCC,C,16.031300127999998,0.5285137,-8.968324459455982,-9.431731588505283
1,C=CCC,C#C,26.015650064,0.7111026,-7.226864575468232,-7.626380383096864
2,C=CCC,C=C,28.031300127999998,0.8292242,-6.983630180388088,-7.345761567383404
3,C=CCC,CC,30.046950192,0.6614841,-6.7744679666636305,-7.1905992842791395
4,C=CCC,C1=CC1,40.031300128,0.66959774,-6.164735805361048,-6.578112524120585
5,C=CCC,C#CC,40.031300128,0.69019735,-6.164735805361048,-6.571185212700144
6,C=CCC,C1CC1,42.046950192,0.54463905,-6.103642028842362,-6.561099273238572
7,C=CCC,C=C=C,40.031300128,0.7717488,-6.164735805361048,-6.544680755703227
8,C=CCC,CCC,44.062600255999996,0.706934,-6.052532396820245,-6.453422985580621
9,C=CCC,C=CC,42.046950192,0.8898196,-6.103642028842362,-6.447749209676179
10,C=CCC,C#CCC,54.046950192,0.6995059,-5.820273434657672,-6.22362343027077
11,C=CCC,C=C=CC,54.046950192,0.8437704,-5.820273434657672,-6.178007965821841
12,C=CCC,C=CC=C,54.046950192,0.8470566,-5.820273434657672,-6.177020793695071
13,C=CCC,C=CCC,56.062600255999996,0.88956654,-5.773027807524754,-6.11720874910648
14,C=CCC,CCCC,58.078250319999995,0.77232385,-5.730360881882566,-6.110124067860502
15,C=CCC,C=CCC=C,68.062600256,0.7999963,-5.648499796543922,-6.019601563368644
16,C=CCC,C=C=CCC,68.062600256,0.86455095,-5.648499796543922,-6.000029990826453
17,C=CCC,C=CC=CC,68.062600256,0.869602,-5.648499796543922,-5.998535493765678
18,C=CCC,C=CCCC,70.07825032,0.89993787,-5.656810825332318,-5.997982656224881
19,C=CCC,CC=CCC,70.07825032,0.9004042,-5.656810825332318,-5.997847919925366
