,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,C#CC,C,16.031300127999998,0.73412013,-8.968324459455982,-9.360317564867511
1,C#CC,C#C,26.015650064,0.73669183,-7.226864575468232,-7.6180244675504465
2,C#CC,C=C,28.031300127999998,0.6998494,-6.983630180388088,-7.386866211920376
3,C#CC,CC,30.046950192,0.6800701,-6.7744679666636305,-7.1843112028715925
4,C#CC,C=C=C,40.031300128,0.5826671,-6.164735805361048,-6.608399938909785
5,C#CC,C#CC,40.031300128,0.78151226,-6.164735805361048,-6.541604798404948
6,C#CC,C=CC,42.046950192,0.7495386,-6.103642028842362,-6.4906610670427405
7,C#CC,CCC,44.062600255999996,0.71393,-6.052532396820245,-6.4511178057462555
8,C#CC,C#CC=C,52.031300128,0.64360106,-5.8691925279295845,-6.291447328726093
9,C#CC,C=C=CC,54.046950192,0.6522696,-5.820273434657672,-6.239550923843005
10,C#CC,CC#CC,54.046950192,0.7283199,-5.820273434657672,-6.2141511793323545
11,C#CC,C#CCC,54.046950192,0.78024215,-5.820273434657672,-6.1975413913913755
