,starting_molecule,SMILES,Molecular Weight,Cosine Similarity,KDE Log-Likelihood,Combined Score
0,CC=CCC,[H],1.007825032,0.110108584,-13.358673782554902,-13.998281390873231
1,CC=CCC,C,16.031300127999998,0.4436617,-8.968324459455982,-9.464046038054004
2,CC=CCC,C#C,26.015650064,0.71422213,-7.226864575468232,-7.625353931509187
3,CC=CCC,C=C,28.031300127999998,0.71979016,-6.983630180388088,-7.380292952089901
4,CC=CCC,CC,30.046950192,0.5630579,-6.7744679666636305,-7.225202820408137
5,CC=CCC,C#CC,40.031300128,0.7583639,-6.164735805361048,-6.54893104371287
6,CC=CCC,C=CC,42.046950192,0.80140615,-6.103642028842362,-6.4743069532255255
7,CC=CCC,CCC,44.062600255999996,0.7412256,-6.052532396820245,-6.442226849106012
8,CC=CCC,C1=CCC=1,52.031300128,0.6457801,-5.8691925279295845,-6.290697234073917
9,CC=CCC,C1=CCC1,54.046950192,0.6540979,-5.820273434657672,-6.238925045270541
10,CC=CCC,C=C=CC,54.046950192,0.8305244,-5.820273434657672,-6.182010030288318
11,CC=CCC,CC=CC,56.062600255999996,0.8567257,-5.773027807524754,-6.126883685639454
12,CC=CCC,C=CCC,56.062600255999996,0.8830401,-5.773027807524754,-6.119113653948856
13,CC=CCC,CCCC,58.078250319999995,0.76692414,-5.730360881882566,-6.1118333204564035
14,CC=CCC,CCCCC,72.093900384,0.7784613,-5.66823822017118,-6.04606619234487
15,CC=CCC,C=C(CC)CC,84.093900384,0.6699003,-5.597643165968446,-6.010917454145936
16,CC=CCC,C=C=CCC,68.062600256,0.86064017,-5.648499796543922,-6.001190701876487
17,CC=CCC,CC=C=CCC,82.07825032,0.8359202,-5.639278613857593,-5.999380403093662
18,CC=CCC,C=CC=CC,68.062600256,0.87195736,-5.648499796543922,-5.997840533409919
19,CC=CCC,C=CCCC,70.07825032,0.91348827,-5.656810825332318,-5.99408463166586
20,CC=CCC,C#CC=CC,66.046950192,0.88517714,-5.646510371599426,-5.991971412334671
21,CC=CCC,C=CC=CCC,82.07825032,0.86150646,-5.639278613857593,-5.991712086729374
22,CC=CCC,CC=CCC,70.07825032,0.92638266,-5.656810825332318,-5.990410005315457
23,CC=CCC,C=CCC=CC,82.07825032,0.8704374,-5.639278613857593,-5.989067786268558
24,CC=CCC,CC=C(C)CC,84.093900384,0.79800904,-5.597643165968446,-5.969361513041047
25,CC=CCC,CC=CCCC,84.093900384,0.90634197,-5.597643165968446,-5.936967997931031
26,CC=CCC,CCC=CCC,84.093900384,0.9224441,-5.597643165968446,-5.932361125134019
